# The data points for the QLF at different redshift bins are given here.
# status 1 points are the selected points and status 0 points are the rejected points. 
# The columns are as follows:
# zmin   zmax   label                      status  mags      logphi      right    left     uperr    downerr
  0.10   0.40   Milliquas DR16Q gG              1  -25.200   -9.439      0.300    0.300    0.518    0.763
  0.10   0.40   Milliquas DR16Q gG              1  -24.600   -8.594      0.300    0.300    0.187    0.200
  0.10   0.40   Milliquas DR16Q gG              1  -24.000   -8.078      0.300    0.300    0.099    0.101
  0.10   0.40   Milliquas DR16Q gG              1  -23.400   -7.607      0.300    0.300    0.056    0.056
  0.10   0.40   Milliquas DR16Q gG              1  -22.800   -7.199      0.300    0.300    0.034    0.034
  0.10   0.40   Milliquas DR16Q gG              1  -22.200   -6.811      0.300    0.300    0.022    0.022
  0.10   0.40   Milliquas DR16Q gG              1  -21.600   -6.632      0.300    0.300    0.017    0.017
  0.10   0.40   Milliquas DR16Q gG              1  -21.000   -6.680      0.300    0.300    0.018    0.018
  0.10   0.40   Milliquas DR16Q gG              1  -20.400   -7.041      0.300    0.300    0.028    0.028
  0.10   0.40   Milliquas DR16Q gG              1  -19.800   -7.296      0.300    0.300    0.038    0.038
  0.10   0.40   Milliquas DR16Q gG              1  -19.200   -7.490      0.300    0.300    0.048    0.049
  0.10   0.40   Milliquas DR16Q gG              1  -18.600   -7.837      0.300    0.300    0.074    0.074
  0.10   0.40   Milliquas DR16Q gG              1  -18.000   -8.117      0.300    0.300    0.187    0.200
  0.10   0.40   Milliquas DR16 gG               1  -24.000   -8.485      0.300    0.300    0.163    0.172
  0.10   0.40   Milliquas DR16 gG               1  -23.400   -8.161      0.300    0.300    0.109    0.112
  0.10   0.40   Milliquas DR16 gG               1  -22.800   -7.796      0.300    0.300    0.070    0.071
  0.10   0.40   Milliquas DR16 gG               1  -22.200   -7.542      0.300    0.300    0.051    0.052
  0.10   0.40   Milliquas DR16 gG               1  -21.600   -7.435      0.300    0.300    0.045    0.045
  0.10   0.40   Milliquas DR16 gG               1  -21.000   -7.500      0.300    0.300    0.049    0.049
  0.10   0.40   Milliquas DR16 gG               1  -20.400   -7.588      0.300    0.300    0.054    0.055
  0.10   0.40   Milliquas DR16 gG               1  -19.800   -7.683      0.300    0.300    0.061    0.062
  0.10   0.40   Milliquas DR16 gG               1  -19.200   -7.826      0.300    0.300    0.073    0.073
  0.10   0.40   Milliquas DR16 gG               1  -18.600   -8.041      0.300    0.300    0.094    0.096
  0.10   0.40   Milliquas DR16 gG               1  -18.000   -8.263      0.300    0.300    0.224    0.246
  0.10   0.40   Richards et al. 2006            1  -24.600   -8.336      0.300    0.300    0.295    0.341
  0.10   0.40   Richards et al. 2006            1  -24.000   -7.592      0.300    0.300    0.101    0.103
  0.10   0.40   Richards et al. 2006            1  -23.400   -7.142      0.300    0.300    0.054    0.054
  0.10   0.40   Richards et al. 2006            1  -22.800   -6.761      0.300    0.300    0.034    0.034
  0.10   0.40   Richards et al. 2006            1  -22.200   -6.494      0.300    0.300    0.023    0.023
  0.10   0.40   Richards et al. 2006            1  -21.600   -6.080      0.300    0.300    0.015    0.015
  0.10   0.40   Richards et al. 2006            1  -21.000   -5.966      0.300    0.300    0.012    0.012
  0.10   0.40   Richards et al. 2006            1  -20.400   -5.800      0.300    0.300    0.017    0.017
  0.10   0.40   Richards et al. 2006            0  -20.400   -6.001      0.300    0.300    0.016    0.016
  0.10   0.40   Richards et al. 2006            0  -19.800   -8.747      0.300    0.300    0.518    0.763
  0.40   0.60   Milliquas DR16Q gG              1  -25.800   -9.284      0.300    0.300    0.295    0.341
  0.40   0.60   Milliquas DR16Q gG              1  -25.200   -8.557      0.300    0.300    0.120    0.123
  0.40   0.60   Milliquas DR16Q gG              1  -24.600   -7.929      0.300    0.300    0.056    0.056
  0.40   0.60   Milliquas DR16Q gG              1  -24.000   -7.417      0.300    0.300    0.030    0.030
  0.40   0.60   Milliquas DR16Q gG              1  -23.400   -6.976      0.300    0.300    0.018    0.018
  0.40   0.60   Milliquas DR16Q gG              1  -22.800   -6.589      0.300    0.300    0.011    0.011
  0.40   0.60   Milliquas DR16Q gG              1  -22.200   -6.376      0.300    0.300    0.009    0.009
  0.40   0.60   Milliquas DR16Q gG              1  -21.600   -6.361      0.300    0.300    0.009    0.009
  0.40   0.60   Milliquas DR16Q gG              1  -21.000   -6.484      0.300    0.300    0.010    0.010
  0.40   0.60   Milliquas DR16Q gG              1  -20.400   -6.734      0.300    0.300    0.014    0.014
  0.40   0.60   Milliquas DR16Q gG              1  -19.800   -7.227      0.300    0.300    0.024    0.024
  0.40   0.60   Milliquas DR16Q gG              1  -19.200   -8.159      0.300    0.300    0.074    0.074
  0.40   0.60   Milliquas DR16Q gG              1  -18.600   -9.761      0.300    0.300    0.518    0.763
  0.40   0.60   Milliquas DR16 gG               1  -25.200   -9.159      0.300    0.300    0.253    0.283
  0.40   0.60   Milliquas DR16 gG               1  -24.600   -8.314      0.300    0.300    0.089    0.090
  0.40   0.60   Milliquas DR16 gG               1  -24.000   -7.983      0.300    0.300    0.059    0.060
  0.40   0.60   Milliquas DR16 gG               1  -23.400   -7.744      0.300    0.300    0.045    0.045
  0.40   0.60   Milliquas DR16 gG               1  -22.800   -7.478      0.300    0.300    0.032    0.033
  0.40   0.60   Milliquas DR16 gG               1  -22.200   -7.194      0.300    0.300    0.023    0.023
  0.40   0.60   Milliquas DR16 gG               1  -21.600   -7.061      0.300    0.300    0.020    0.020
  0.40   0.60   Milliquas DR16 gG               1  -21.000   -7.007      0.300    0.300    0.019    0.019
  0.40   0.60   Milliquas DR16 gG               1  -20.400   -7.080      0.300    0.300    0.020    0.020
  0.40   0.60   Milliquas DR16 gG               1  -19.800   -7.454      0.300    0.300    0.032    0.032
