# The data points with bad points for the QLF at different redshift bins are given here.
# badness 1 implies the points are the bad points. 
# The columns are as follows:
# zmin   zmax   label                     badness   bad_prob   mag       mag_err    logphi    map_log_phi   uperr    downerr   log_err  residual   sig_dif   prob
  0.10   0.40   Richards et al. 2006            0     0.077    -24.600   0.300      -8.336       -8.042     0.295    0.341     0.318    -0.294     -0.925    3.550e-01
  0.10   0.40   Richards et al. 2006            0     0.019    -24.000   0.300      -7.592       -7.604     0.101    0.103     0.102     0.013      0.125    9.009e-01
  0.10   0.40   Richards et al. 2006            0     0.011    -23.400   0.300      -7.142       -7.170     0.054    0.054     0.054     0.027      0.506    6.130e-01
  0.10   0.40   Richards et al. 2006            0     0.007    -22.800   0.300      -6.761       -6.747     0.034    0.034     0.034    -0.014     -0.411    6.810e-01
  0.10   0.40   Richards et al. 2006            1     1.000    -22.200   0.300      -6.494       -6.362     0.023    0.023     0.023    -0.131     -5.782    7.394e-09
  0.10   0.40   Richards et al. 2006            0     0.002    -21.600   0.300      -6.080       -6.080     0.015    0.015     0.015     0.000      0.007    9.945e-01
  0.10   0.40   Richards et al. 2006            0     0.002    -21.000   0.300      -5.966       -5.966     0.012    0.012     0.012    -0.000     -0.014    9.885e-01
  0.10   0.40   Richards et al. 2006            0     0.002    -20.400   0.300      -6.001       -5.996     0.016    0.016     0.016    -0.005     -0.327    7.437e-01
  0.10   0.40   Richards et al. 2006            1     0.998    -19.800   0.300      -8.747       -6.093     0.518    0.763     0.641    -2.654     -4.143    3.422e-05
  0.40   0.60   Richards et al. 2006            0     0.000    -25.200   0.300      -8.258       -8.100     0.134    0.139     0.136    -0.157     -1.152    2.493e-01
  0.40   0.60   Richards et al. 2006            0     0.001    -24.600   0.300      -7.565       -7.584     0.057    0.058     0.058     0.019      0.325    7.448e-01
  0.40   0.60   Richards et al. 2006            0     0.004    -24.000   0.300      -7.091       -7.106     0.033    0.033     0.033     0.015      0.461    6.448e-01
  0.40   0.60   Richards et al. 2006            0     0.010    -23.400   0.300      -6.713       -6.698     0.021    0.021     0.021    -0.016     -0.752    4.521e-01
  0.40   0.60   Richards et al. 2006            0     0.012    -22.800   0.300      -6.379       -6.387     0.014    0.014     0.014     0.008      0.525    5.999e-01
  0.40   0.60   Richards et al. 2006            0     0.011    -22.200   0.300      -6.169       -6.163     0.011    0.011     0.011    -0.005     -0.460    6.453e-01
  0.40   0.60   Richards et al. 2006            1     1.000    -21.600   0.300      -6.117       -5.995     0.014    0.014     0.014    -0.121     -8.438    3.233e-17
  0.40   0.60   Richards et al. 2006            1     1.000    -21.000   0.300      -6.329       -5.854     0.040    0.040     0.040    -0.475    -12.000    3.559e-33
  0.40   0.60   Croom et al. 2009               0     0.124    -23.400   0.300      -6.550       -6.698     0.187    0.200     0.193     0.148      0.765    4.440e-01
  0.40   0.60   Croom et al. 2009               0     0.076    -22.800   0.300      -6.463       -6.387     0.091    0.092     0.091    -0.077     -0.839    4.014e-01
  0.40   0.60   Croom et al. 2009               0     0.507    -22.200   0.300      -6.009       -6.163     0.065    0.066     0.066     0.155      2.354    1.860e-02
  0.40   0.60   Croom et al. 2009               1     1.000    -21.600   0.300      -5.692       -5.995     0.049    0.049     0.049     0.304      6.196    5.780e-10
  0.40   0.60   Croom et al. 2009               0     0.052    -21.000   0.300      -5.829       -5.854     0.051    0.051     0.051     0.026      0.501    6.162e-01
  0.40   0.60   Croom et al. 2009               1     0.989    -20.400   0.300      -5.536       -5.724     0.047    0.047     0.047     0.188      3.963    7.410e-05
  0.40   0.60   Croom et al. 2009               0     0.050    -19.800   0.300      -5.606       -5.598     0.067    0.067     0.067    -0.008     -0.121    9.036e-01
  0.40   0.60   Croom et al. 2009               0     0.360    -19.200   0.300      -5.730       -5.474     0.147    0.153     0.150    -0.256     -1.710    8.724e-02
  0.60   0.80   Richards et al. 2006            0     0.000    -26.400   0.300      -8.860       -8.900     0.224    0.246     0.235     0.041      0.174    8.621e-01
  0.60   0.80   Richards et al. 2006            0     0.001    -25.800   0.300      -8.429       -8.229     0.129    0.133     0.131    -0.199     -1.521    1.281e-01
  0.60   0.80   Richards et al. 2006            0     0.003    -25.200   0.300      -7.592       -7.617     0.046    0.047     0.047     0.024      0.523    6.010e-01
  0.60   0.80   Richards et al. 2006            0     0.006    -24.600   0.300      -7.102       -7.106     0.026    0.026     0.026     0.004      0.144    8.853e-01
  0.60   0.80   Richards et al. 2006            0     0.008    -24.000   0.300      -6.708       -6.712     0.017    0.017     0.017     0.004      0.211    8.326e-01
  0.60   0.80   Richards et al. 2006            0     0.009    -23.400   0.300      -6.408       -6.400     0.011    0.011     0.011    -0.008     -0.697    4.859e-01
  0.60   0.80   Richards et al. 2006            1     1.000    -22.800   0.300      -6.302       -6.128     0.013    0.013     0.013    -0.174    -13.660    1.754e-42
  0.60   0.80   Richards et al. 2006            1     1.000    -22.200   0.300      -6.389       -5.872     0.042    0.042     0.042    -0.517    -12.372    3.706e-35
  0.60   0.80   Croom et al. 2009               0     0.131    -24.000   0.300      -6.954       -6.712     0.163    0.172     0.168    -0.242     -1.445    1.486e-01
  0.60   0.80   Croom et al. 2009               0     0.195    -23.400   0.300      -6.282       -6.400     0.065    0.065     0.065     0.118      1.819    6.885e-02
  0.60   0.80   Croom et al. 2009               0     0.128    -22.800   0.300      -6.044       -6.128     0.052    0.052     0.052     0.084      1.625    1.041e-01
  0.60   0.80   Croom et al. 2009               0     0.053    -22.200   0.300      -5.824       -5.872     0.042    0.042     0.042     0.048      1.123    2.616e-01
  0.60   0.80   Croom et al. 2009               0     0.037    -21.600   0.300      -5.583       -5.621     0.033    0.033     0.033     0.039      1.173    2.408e-01
  0.60   0.80   Croom et al. 2009               0     0.394    -21.000   0.300      -5.460       -5.373     0.032    0.032     0.032    -0.087     -2.720    6.520e-03
  0.60   0.80   Croom et al. 2009               1     1.000    -20.400   0.300      -5.726       -5.125     0.058    0.059     0.059    -0.601    -10.255    1.123e-24
  0.60   0.80   Croom et al. 2009               1     0.937    -19.800   0.300      -5.810       -4.878     0.295    0.341     0.318    -0.932     -2.930    3.391e-03
  0.80   1.00   Richards et al. 2006            0     0.006    -27.600   0.300      -9.511       -9.672     0.518    0.763     0.641     0.161      0.251    8.018e-01
  0.80   1.00   Richards et al. 2006            0     0.005    -27.000   0.300      -9.403       -9.025     0.365    0.451     0.408    -0.379     -0.928    3.536e-01
  0.80   1.00   Richards et al. 2006            0     0.005    -26.400   0.300      -8.403       -8.387     0.106    0.109     0.108    -0.017     -0.155    8.765e-01
  0.80   1.00   Richards et al. 2006            0     0.005    -25.800   0.300      -7.755       -7.772     0.048    0.049     0.048     0.017      0.346    7.291e-01
  0.80   1.00   Richards et al. 2006            0     0.005    -25.200   0.300      -7.224       -7.211     0.026    0.026     0.026    -0.013     -0.523    6.009e-01
  0.80   1.00   Richards et al. 2006            0     0.004    -24.600   0.300      -6.741       -6.746     0.015    0.015     0.015     0.006      0.379    7.046e-01
  0.80   1.00   Richards et al. 2006            0     0.003    -24.000   0.300      -6.399       -6.395     0.010    0.010     0.010    -0.004     -0.383    7.016e-01
  0.80   1.00   Richards et al. 2006            1     1.000    -23.400   0.300      -6.413       -6.128     0.015    0.015     0.015    -0.284    -19.205    3.367e-82
  0.80   1.00   Croom et al. 2009               0     0.026    -24.600   0.300      -6.760       -6.746     0.109    0.112     0.111    -0.013     -0.120    9.045e-01
  0.80   1.00   Croom et al. 2009               0     0.076    -24.000   0.300      -6.294       -6.395     0.056    0.056     0.056     0.101      1.811    7.011e-02
  0.80   1.00   Croom et al. 2009               0     0.017    -23.400   0.300      -6.162       -6.128     0.048    0.048     0.048    -0.033     -0.690    4.900e-01
  0.80   1.00   Croom et al. 2009               0     0.014    -22.800   0.300      -5.875       -5.904     0.038    0.038     0.038     0.029      0.766    4.435e-01
  0.80   1.00   Croom et al. 2009               0     0.241    -22.200   0.300      -5.616       -5.697     0.030    0.030     0.030     0.081      2.708    6.770e-03
  0.80   1.00   Croom et al. 2009               0     0.066    -21.600   0.300      -5.553       -5.496     0.027    0.027     0.027    -0.057     -2.143    3.211e-02
  0.80   1.00   Croom et al. 2009               1     1.000    -21.000   0.300      -5.607       -5.298     0.037    0.037     0.037    -0.309     -8.425    3.594e-17
  0.80   1.00   Croom et al. 2009               0     0.819    -20.400   0.300      -6.787       -5.101     0.518    0.763     0.641    -1.686     -2.633    8.474e-03
  1.00   1.20   Richards et al. 2006            0     0.008    -28.200   0.300      -9.260       -9.935     0.518    0.763     0.641     0.675      1.054    2.918e-01
  1.00   1.20   Richards et al. 2006            0     0.001    -27.600   0.300      -9.486       -9.296     0.365    0.451     0.408    -0.189     -0.464    6.428e-01
  1.00   1.20   Richards et al. 2006            0     0.002    -27.000   0.300      -8.745       -8.661     0.147    0.153     0.150    -0.084     -0.564    5.727e-01
  1.00   1.20   Richards et al. 2006            0     0.003    -26.400   0.300      -8.046       -8.034     0.062    0.063     0.062    -0.012     -0.197    8.437e-01
  1.00   1.20   Richards et al. 2006            0     0.003    -25.800   0.300      -7.435       -7.432     0.030    0.030     0.030    -0.003     -0.094    9.249e-01
  1.00   1.20   Richards et al. 2006            0     0.003    -25.200   0.300      -6.883       -6.889     0.016    0.016     0.016     0.006      0.381    7.028e-01
  1.00   1.20   Richards et al. 2006            0     0.003    -24.600   0.300      -6.455       -6.453     0.010    0.010     0.010    -0.002     -0.169    8.657e-01
  1.00   1.20   Richards et al. 2006            1     1.000    -24.000   0.300      -6.312       -6.141     0.009    0.009     0.009    -0.171    -18.463    4.107e-76
  1.00   1.20   Croom et al. 2009               0     0.026    -25.200   0.300      -6.906       -6.889     0.129    0.133     0.131    -0.018     -0.136    8.922e-01
  1.00   1.20   Croom et al. 2009               0     0.019    -24.600   0.300      -6.489       -6.453     0.063    0.063     0.063    -0.036     -0.565    5.722e-01
  1.00   1.20   Croom et al. 2009               0     0.096    -24.000   0.300      -6.236       -6.141     0.046    0.047     0.047    -0.095     -2.035    4.181e-02
  1.00   1.20   Croom et al. 2009               0     0.034    -23.400   0.300      -5.859       -5.914     0.035    0.035     0.035     0.055      1.580    1.141e-01
  1.00   1.20   Croom et al. 2009               0     0.009    -22.800   0.300      -5.718       -5.728     0.029    0.029     0.029     0.010      0.352    7.252e-01
  1.00   1.20   Croom et al. 2009               0     0.007    -22.200   0.300      -5.569       -5.557     0.024    0.024     0.024    -0.011     -0.465    6.420e-01
  1.00   1.20   Croom et al. 2009               1     1.000    -21.600   0.300      -5.670       -5.392     0.033    0.033     0.033    -0.278     -8.532    1.436e-17
  1.00   1.20   Croom et al. 2009               1     0.999    -21.000   0.300      -6.039       -5.229     0.174    0.184     0.179    -0.811     -4.521    6.141e-06
  1.20   1.40   Richards et al. 2006            0     0.004    -28.200   0.300      -9.785       -9.537     0.518    0.763     0.641    -0.249     -0.388    6.977e-01
  1.20   1.40   Richards et al. 2006            0     0.003    -27.600   0.300      -9.063       -8.921     0.203    0.219     0.211    -0.142     -0.674    5.004e-01
  1.20   1.40   Richards et al. 2006            0     0.005    -27.000   0.300      -8.250       -8.311     0.075    0.075     0.075     0.060      0.804    4.214e-01
  1.20   1.40   Richards et al. 2006            0     0.009    -26.400   0.300      -7.770       -7.715     0.042    0.042     0.042    -0.054     -1.300    1.934e-01
  1.20   1.40   Richards et al. 2006            0     0.012    -25.800   0.300      -7.125       -7.156     0.019    0.019     0.019     0.031      1.611    1.071e-01
  1.20   1.40   Richards et al. 2006            0     0.003    -25.200   0.300      -6.675       -6.670     0.011    0.011     0.011    -0.004     -0.391    6.955e-01
  1.20   1.40   Richards et al. 2006            0     0.004    -24.600   0.300      -6.283       -6.292     0.007    0.007     0.007     0.009      1.181    2.376e-01
  1.20   1.40   Richards et al. 2006            1     1.000    -24.000   0.300      -6.450       -6.014     0.026    0.026     0.026    -0.436    -17.018    6.050e-65
  1.20   1.40   Croom et al. 2009               0     0.052    -25.800   0.300      -7.159       -7.156     0.295    0.341     0.318    -0.003     -0.010    9.919e-01
  1.20   1.40   Croom et al. 2009               0     0.166    -25.200   0.300      -6.862       -6.670     0.087    0.089     0.088    -0.192     -2.182    2.912e-02
  1.20   1.40   Croom et al. 2009               0     0.045    -24.600   0.300      -6.373       -6.292     0.050    0.050     0.050    -0.081     -1.614    1.066e-01
  1.20   1.40   Croom et al. 2009               0     0.012    -24.000   0.300      -6.038       -6.014     0.040    0.040     0.040    -0.025     -0.621    5.347e-01
  1.20   1.40   Croom et al. 2009               0     0.010    -23.400   0.300      -5.817       -5.796     0.031    0.031     0.031    -0.021     -0.666    5.053e-01
  1.20   1.40   Croom et al. 2009               0     0.007    -22.800   0.300      -5.594       -5.607     0.024    0.024     0.024     0.013      0.556    5.779e-01
